Type	Payout [Cr]	Atmospheres found so far	Planet types found so far	Known star types / planet mats (from colours)	Surf. temperature [K]	Max. gravity	Colony range [m]		Codex: Atmosphere type	Codex: On planet	Codex: Volcanism		Notes	Atmospheres found so far	Planet types found so far	Known star types / planet mats (from colours)	Surf. temperature [K]	Max. gravity
Aleoida Arcus	379,300	Carbon dioxide	HMC, Rocky	B, A, F, K, M, L, T, TTS, NS	175 - 180	0.27	150		-	-	-			Carbon dioxide	HMC, Rocky	B, A, F, K, M, L, T, TTS, NS	175 - 180	0.27
Aleoida Coronamus	339,100	Carbon dioxide	HMC, Rocky	B, A, F, G, K, M, L, T, TTS, NS	180 - 190	0.27	150		-	-	-			Carbon dioxide	HMC, Rocky	B, A, F, G, K, M, L, T, TTS, NS	180 - 190	0.27
Aleoida Gravis	596,500	Carbon dioxide	HMC, Rocky	B, A, F, K, M, L, T, TTS, NS	190 - 195	0.27	150		-	-	-			Carbon dioxide	HMC, Rocky	B, A, F, K, M, L, T, TTS, NS	190 - 195	0.27
Aleoida Laminiae	208,900	Ammonia	HMC, Rocky	B, A, F, K, M, L, T, TTS, NS	-	0.27	150		-	-	-			Ammonia	HMC, Rocky	B, A, F, K, M, L, T, TTS, NS	-	0.27
Aleoida Spica	208,900	Ammonia	HMC, Rocky	B, A, F, K, M, L, T, TTS, NS	-	0.27	150		-	-	-			Ammonia	HMC, Rocky	B, A, F, K, M, L, T, TTS, NS	-	0.27
																		
Bacterium Acies	50,000	Neon	Icy, Rocky Ice	Antimony, Polonium, Ruthenium, Technetium, Tellurium, Yttrium	-	-	500		Neon	-	-			Neon	Icy, Rocky Ice	Antimony, Polonium, Ruthenium, Technetium, Tellurium, Yttrium	-	-
Bacterium Alcyoneum	119,500	Ammonia	HMC, Rocky	M, K, G, F, A, NS, L, T	-	-	500		Ammonia	-	-			Ammonia	HMC, Rocky	M, K, G, F, A, NS, L, T	-	-
Bacterium Aurasus	78,500	Carbon dioxide	HMC, Rocky	M, K, G, F, A, B, NS, L, T	-	-	500		Carbon Dioxide	-	-			Carbon dioxide	HMC, Rocky	M, K, G, F, A, B, NS, L, T	-	-
Bacterium Bullaris	89,900	Methane	Icy, HMC, Rocky	Antimony, Polonium, Ruthenium, Technetium, Tellurium, Yttrium	-	-	500		Methane	-	-			Methane	Icy, HMC, Rocky	Antimony, Polonium, Ruthenium, Technetium, Tellurium, Yttrium	-	-
Bacterium Cerbrus	121,300	Sulphur dioxide, Water	HMC, Rocky, Rocky Ice	M, K, G, F, A, B, NS, WD, TTS, L, Y	-	-	500		Water and Sulphur Dioxide	-	-			Sulphur dioxide, Water	HMC, Rocky, Rocky Ice	M, K, G, F, A, B, NS, WD, TTS, L, Y	-	-
Bacterium Informem	426,200	Nitrogen	Any	Antimony, Polonium, Ruthenium, Technetium, Tellurium, Yttrium	-	-	500		Nitrogen	-	-			Nitrogen	Any	Antimony, Polonium, Ruthenium, Technetium, Tellurium, Yttrium	-	-
Bacterium Nebulus	296,300	Helium	Icy	Niobium, Ruthenium, Tellurium, Tin, Yttrium	-	-	500		Helium	-	-			Helium	Icy	Niobium, Ruthenium, Tellurium, Tin, Yttrium	-	-
Bacterium Omentum	267,400	Argon, Methane, Neon	Icy	Cadmium, Mercury, Niobium, Tin	-	-	500		-	-	Nitrogen-based					Cadmium, Mercury, Niobium, Tin	-	-
Bacterium Scopulum	280,600	Argon, Methane, Neon, Nitrogen	Icy	Cadmium, Mercury, Molybdenum, Niobium, Tungsten, Tin	-	-	500		-	-	Carbon-based					Cadmium, Mercury, Molybdenum, Niobium, Tungsten, Tin	-	-
Bacterium Tela 	135,600	Any	Icy, HMC, Rocky	Cadmium, Mercury, Molybdenum, Niobium, Tungsten, Tin	-	-	500		-	-	Helium-based, iron-based, silicate-based		Bugged (?): Found on water atm. too, doesn't require volcanism there			Cadmium, Mercury, Molybdenum, Niobium, Tungsten, Tin	-	-
Bacterium Verrata	233,300	Any	Icy, Rocky, Rocky Ice	Cadmium, Mercury, Molybdenum, Niobium, Tungsten, Tin	-	-	500		-	-	Water-based					Cadmium, Mercury, Molybdenum, Niobium, Tungsten, Tin	-	-
Bacterium Vesicula	56,100	Argon	Icy, Rocky, Rocky Ice	Antimony, Polonium, Ruthenium, Technetium, Tellurium, Yttrium	-	-	500		Argon	-	-			Argon	Icy, Rocky Ice	Antimony, Polonium, Ruthenium, Technetium, Tellurium, Yttrium	-	-
Bacterium Volu	400,500	Oxygen	HMC, Icy, Rocky Ice	Antimony, Polonium, Ruthenium, Technetium, Tellurium, Yttrium	-	-	500		Oxygen	-	-			Oxygen	HMC, Icy, Rocky Ice	Antimony, Polonium, Ruthenium, Technetium, Tellurium, Yttrium	-	-
																		
Cactoida Cortexum	222,500	Carbon dioxide	HMC, Rocky	A, F, G, M, L, T, TTS, NS	180 - 195	0.27	300		-	-	-			Carbon dioxide	HMC, Rocky	A, F, G, M, L, T, TTS, NS	180 - 195	0.27
