Hop Number (if a route or expedition) (Optional),System (Mandatory),Star X (Optional),Star Y (Optional),Star Z (Optional),Bookmark Group (Mandatory),Label In Group (Optional),Notes (Optional),Body Full (Required if you want a surface location to be noted),Body short (Optional),Body LS (Optional),Lat (required if you want a surface location to be noted),Long  (required if you want a surface location to be noted),Location Note Entry ( (required if you want a surface location to be noted ),Game Type (Odyssey/Horizons/Both) (Mandatory)
,Trianguli Sector BA-A d85,79.78125,-73.96875,-115.75,Thargoid Spire Sites,,Thargoid Spire on body 15 b (2858 ls from star) at (Lat:16.9361| Long:-63.845),Trianguli Sector BA-A d85 15 b,15 b,2858,16.9361,-63.845,Thargoid Spire,Odyssey
,Arietis Sector KR-V b2-1,-2.5625,-55.5625,-156.9375,Thargoid Spire Sites,,Thargoid Spire on body 1 (806 ls from star) at (Lat:69.7866| Long:-127.8902),Arietis Sector KR-V b2-1 1,1,806,69.7866,-127.8902,Thargoid Spire,Odyssey
,Cephei Sector XO-A b3,-98.75,49.28125,-86.71875,Thargoid Spire Sites,,Thargoid Spire on body 2 (1520 ls from star) at (Lat:56.9986| Long:146.9645),Cephei Sector XO-A b3 2,2,1520,56.9986,146.9645,Thargoid Spire,Odyssey
,Hyades Sector DQ-O b6-0,88.75,-86.15625,-126.96875,Thargoid Spire Sites,,Thargoid Spire on body A 4 (759 ls from star) at (Lat:50.1545| Long:30.8933),Hyades Sector DQ-O b6-0 A 4,A 4,759,50.1545,30.8933,Thargoid Spire,Odyssey
,Col 285 Sector PB-E b12-3,118.375,-183.125,-97.4375,Thargoid Spire Sites,,Thargoid Spire on body 2 (46 ls from star) at (Lat:13.5646| Long:-99.3092),Col 285 Sector PB-E b12-3 2,2,46,13.5646,-99.3092,Thargoid Spire,Odyssey
,HIP 19870,-15.09375,-59.5625,-158.125,Thargoid Spire Sites,,Thargoid Spire on body 3 b (592 ls from star) at (Lat:48.1545| Long:46.9961),HIP 19870 3 b,3 b,592,48.1545,46.9961,Thargoid Spire,Odyssey
,Pegasi Sector NN-S b4-2,-144,-60.75,-23.8125,Thargoid Spire Sites,,Thargoid Spire on body A 3 (797 ls from star) at (Lat:42.2965| Long:60.0331),Pegasi Sector NN-S b4-2 A 3,A 3,797,42.2965,60.0331,Thargoid Spire,Odyssey
,Lyncis Sector WU-P b5-0,-99.1875,50.96875,-89.9375,Thargoid Spire Sites,,Thargoid Spire on body 3 (703 ls from star) at (Lat:-20.4762| Long:49.9134),Lyncis Sector WU-P b5-0 3,3,703,-20.4762,49.9134,Thargoid Spire,Odyssey
,Hyades Sector KN-K b8-3,-63.84375,-146.1875,-90.375,Thargoid Spire Sites,,Thargoid Spire on body A 5 (1293 ls from star) at (Lat:-21.3331| Long:71.4688),Hyades Sector KN-K b8-3 A 5,A 5,1293,-21.3331,71.4688,Thargoid Spire,Odyssey
,Col 285 Sector OS-T d3-143,154.28125,10.90625,-88.53125,Thargoid Spire Sites,,Thargoid Spire on body B 5 (925 ls from star) at (Lat:50.7165| Long:84.7805),Col 285 Sector OS-T d3-143 B 5,B 5,925,50.7165,84.7805,Thargoid Spire,Odyssey
,Col 285 Sector OG-E b12-1,142.65625,-155.46875,-100.9375,Thargoid Spire Sites,,Thargoid Spire on body 6 (1070 ls from star) at (Lat:36.4973| Long:100.3555),Col 285 Sector OG-E b12-1 6,6,1070,36.4973,100.3555,Thargoid Spire,Odyssey
,Col 285 Sector XT-Q c5-18,154.21875,4.625,-107.6875,Thargoid Spire Sites,,Thargoid Spire on body 2 a (1900 ls from star) at (Lat:18.3115| Long:-12.3277),Col 285 Sector XT-Q c5-18 2 a,2:00 AM,1900,18.3115,-12.3277,Thargoid Spire,Odyssey
,Col 285 Sector KW-M c7-15,191.59375,-87.625,-40.25,Thargoid Spire Sites,,Thargoid Spire on body B 3 (6197 ls from star) at (Lat:17.2001| Long:-11.1717),Col 285 Sector KW-M c7-15 B 3,B 3,6197,17.2001,-11.1717,Thargoid Spire,Odyssey
,Col 285 Sector VN-H b11-1,156.59375,4.65625,-114.21875,Thargoid Spire Sites,,Thargoid Spire on body 3 (703 ls from star) at (Lat:61.6852| Long:-130.6153),Col 285 Sector VN-H b11-1 3,3,703,61.6852,-130.6153,Thargoid Spire,Odyssey
,Trianguli Sector EQ-Y b0,78.15625,-61.96875,-120.78125,Thargoid Spire Sites,,Thargoid Spire on body 1 (288 ls from star) at (Lat:42.3887| Long:13.6958),Trianguli Sector EQ-Y b0 1,1,288,42.3887,13.6958,Thargoid Spire,Odyssey
,Hyades Sector ST-Q b5-5,15.71875,-52.53125,-163,Thargoid Spire Sites,,Thargoid Spire on body 2 (36 ls from star) at (Lat:57.5024| Long:-27.0478),Hyades Sector ST-Q b5-5 2,2,36,57.5024,-27.0478,Thargoid Spire,Odyssey
,HIP 25654,94.78125,-70.46875,-128.5,Thargoid Spire Sites,,Thargoid Spire on body 1 b (1216 ls from star) at (Lat:10.8908| Long:77.8581),HIP 25654 1 b,1 b,1216,10.8908,77.8581,Thargoid Spire,Odyssey
,Pegasi Sector JH-U b3-4,-143.0625,-58.78125,-31.34375,Thargoid Spire Sites,,Thargoid Spire on body C 2 (8764 ls from star) at (Lat:-50.2911| Long:-75.6563),Pegasi Sector JH-U b3-4 C 2,C 2,8764,-50.2911,-75.6563,Thargoid Spire,Odyssey
,HIP 31223,193.46875,-83,-43.6875,Thargoid Spire Sites,,Thargoid Spire on body 9 c (3610 ls from star) at (Lat:74.2063| Long:-79.8026),HIP 31223 9 c,9 c,3610,74.2063,-79.8026,Thargoid Spire,Odyssey
,HIP 30439,180.1875,-81.3125,-51.3125,Thargoid Spire Sites,,Thargoid Spire on body ABCD 1 c (3263 ls from star) at (Lat:37.6361| Long:-110.4734),HIP 30439 ABCD 1 c,ABCD 1 c,3263,37.6361,-110.4734,Thargoid Spire,Odyssey
