Species,Species Id,Reward,Count,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16
Aleoida Arcus,23101,"379,300",749,,Yellow - B,Green - A,Teal - F,Turquoise - K,Emerald - M,Lime - L,Sage - T,Mauve - TTS,,,Grey - W,,Ocher - N,,,
Aleoida Coronamus,23102,"339,100",1272,,Yellow - B,Green - A,Teal - F,Turquoise - K,Emerald - M,Lime - L,Sage - T,Mauve - TTS,,Amethyst - Y,,Indigo - D,Ocher - N,,,
Aleoida Spica,23103,"208,900",587,,Yellow - B,Green - A,Teal - F,Turquoise - K,Emerald - M,Lime - L,Sage - T,Mauve - TTS,,,,,Ocher - N,,,
Aleoida Laminiae,23104,"208,900",1103,,Yellow - B,Green - A,Teal - F,Turquoise - K,Emerald - M,Lime - L,Sage - T,Mauve - TTS,,Amethyst - Y,,,Ocher - N,,,
Aleoida Gravis,23105,"596,500",420,,,Green - A,Teal - F,Turquoise - K,Emerald - M,Lime - L,Sage - T,Mauve - TTS,,,,,Ocher - N,,,
Bacterium Aurasus,23201,"78,500",11842,,Turquoise - O,Grey - B,Yellow - A,Lime - F,Emerald - G,Green - K,Teal - M,Sage - L,Red - T,Maroon - TTS,,Mauve - Y,Amethyst - W,Ocher - D,Indigo - N,
Bacterium Nebulus,23202,"296,300",94,,Cyan - Technetium,Green - Tellurium,Gold - Polonium,Orange - Ruthenium,Magenta - Antimony,Cobalt - Yttrium,,,,,,,,,,
Bacterium Scopulum,23203,"280,600",132,,Peach - Mercury,Red - Niobium,Mulberry - Tin,Aquamarine - Tungsten,Lime - Molybdenum,White - Cadmium,,,,,,,,,,
Bacterium Acies,23204,"50,000",3936,,Lime - Technetium,White - Tellurium,Magenta - Polonium,Cobalt - Ruthenium,Cyan - Antimony,Aquamarine - Yttrium,,,,,,,,,,
Bacterium Vesicula,23205,"56,100",8018,,Gold - Technetium,Red - Tellurium,Orange - Polonium,Mulberry - Ruthenium,Cyan - Antimony,Lime - Yttrium,,,,,,,,,,
Bacterium Alcyoneum,23206,"119,500",6535,,Turquoise - O,Grey - B,Yellow - A,Lime - F,Emerald - G,Green - K,Teal - M,Sage - L,Red - T,Maroon - TTS,,Mauve - Y,,Ocher - D,Indigo - N,
Bacterium Tela,23207,"135,600",2059,,Orange - Mercury,Magenta - Niobium,Cobalt - Tin,Green - Tungsten,Yellow - Molybdenum,Gold - Cadmium,,,,,,,,,,
Bacterium Informem,23208,"426,200",1777,,Aquamarine - Technetium,Yellow - Tellurium,Lime - Polonium,Gold - Ruthenium,Red - Antimony,Cobalt - Yttrium,,,,,,,,,,
Bacterium Volu,23209,"400,500",315,,Lime - Technetium,Cyan - Tellurium,Aquamarine - Polonium,Cobalt - Ruthenium,Red - Antimony,Gold - Yttrium,,,,,,,,,,
Bacterium Bullaris,23210,"89,900",2581,,Gold - Technetium,Lime - Tellurium,Yellow - Polonium,Aquamarine - Ruthenium,Cobalt - Antimony,Red - Yttrium,,,,,,,,,,
Bacterium Omentum,23211,"267,400",228,,White - Mercury,Peach - Niobium,Red - Tin,Blue - Tungsten,Aquamarine - Molybdenum,Lime - Cadmium,,,,,,,,,,
Bacterium Cerbrus,23212,"121,300",6713,,Turquoise - O,Grey - B,Yellow - A,Lime - F,Emerald - G,Green - K,Teal - M,Sage - L,Red - T,Maroon - TTS,Orange - Ae,Mauve - Y,Amethyst - W,Ocher - D,Indigo - N,
Bacterium Verrata,23213,"233,300",197,,Red - Mercury,Mulberry - Niobium,Blue - Tin,Lime - Tungsten,White - Molybdenum,Peach - Cadmium,,,,,,,,,,
Cactoida Cortexum,23301,"222,500",1385,,,,Green - A,Yellow - F,Teal - G,,Amethyst - M,Mauve - L,Orange - T,Red - TTS,,Ocher - Y,,Turquoise - D,Sage - N,
Cactoida Lapis,23302,"164,000",2070,,Grey - O,,Green - A,Yellow - F,Teal - G,,Amethyst - M,Mauve - L,Orange - T,Red - TTS,,Ocher - Y,,Turquoise - D,Sage - N,
Cactoida Vermis,23303,"711,500",715,,,,Green - A,Yellow - F,Teal - G,,Amethyst - M,Mauve - L,Orange - T,Red - TTS,,,,,Sage - N,
Cactoida Pullulanta,23304,"222,500",557,,,,Green - A,Yellow - F,Teal - G,,Amethyst - M,Mauve - L,Orange - T,Red - TTS,,,,,Sage - N,
Cactoida Peperatis,23305,"164,000",716,,,,Green - A,Yellow - F,Teal - G,,Amethyst - M,Mauve - L,Orange - T,Red - TTS,,,,Turquoise - D,Sage - N,
Clypeus Lacrimam,23401,"426,200",974,,,Maroon - B,Orange - A,Mauve - F,Amethyst - G,Grey - K,Turquoise - M,Teal - L,,,,Lime - D,Yellow - N,,,
Clypeus Margaritus,23402,"557,800",525,,,Maroon - B,Orange - A,Mauve - F,Amethyst - G,Grey - K,Turquoise - M,Teal - L,,,,,Yellow - N,,,
Clypeus Speculumi,23403,"711,500",327,,,Maroon - B,Orange - A,Mauve - F,Amethyst - G,Grey - K,Turquoise - M,,,,,,Yellow - N,,,
Concha Renibus,23501,"264,300",2285,,Mulberry - Mercury,Blue - Niobium,Aquamarine - Tin,White - Tungsten,Peach - Molybdenum,Red - Cadmium,,,,,,,,,,
Concha Aureolas,23502,"400,500",907,,Indigo - B,Teal - A,Grey - F,Turquoise - G,Red - K,Orange - L,Yellow - Y,,,Emerald - N,,,,,,
Concha Labiata,23503,"157,100",3130,,Indigo - B,Teal - A,Grey - F,Turquoise - G,Red - K,Orange - L,Yellow - Y,Lime - W,Green - D,Emerald - N,,,,,,
Concha Biconcavis,23504,"806,300",74,,White - Technetium,Yellow - Tellurium,Red - Polonium,Orange - Ruthenium,Peach - Antimony,Gold - Yttrium,,,,,,,,,,
Electricae Pluma,23601,"339,100",340,,Magenta - Technetium,Red - Tellurium,Cyan - Polonium,Blue - Ruthenium,Cobalt - Antimony,Mulberry - Yttrium,,,,,,,,,,
Electricae Radialem,23602,"339,100",1437,,Aquamarine - Technetium,Magenta - Tellurium,Cobalt - Polonium,Blue - Ruthenium,Cyan - Antimony,Green - Yttrium,,,,,,,,,,
Fonticulua Segmentatus,23701,"806,300",93,,,,Green - A,Yellow - F,Teal - G,Emerald - K,Amethyst - M,Mauve - L,Orange - T,Red - TTS,Maroon - Ae,,,Turquoise - D,Sage - N,
Fonticulua Campestris,23702,"63,600",8358,,Grey - O,Lime - B,Green - A,Yellow - F,Teal - G,Emerald - K,Amethyst - M,Mauve - L,Orange - T,Red - TTS,Maroon - Ae,Ocher - Y,,Turquoise - D,Sage - N,
Fonticulua Upupam,23703,"315,300",390,,,Lime - B,Green - A,Yellow - F,Teal - G,Emerald - K,Amethyst - M,Mauve - L,Orange - T,Red - TTS,Maroon - Ae,,Indigo - W,Turquoise - D,Sage - N,
Fonticulua Lapida,23704,"195,600",1043,,Grey - O,Lime - B,Green - A,Yellow - F,Teal - G,Emerald - K,Amethyst - M,Mauve - L,Orange - T,Red - TTS,Maroon - Ae,Ocher - Y,,Turquoise - D,Sage - N,
Fonticulua Fluctus,23705,"900,000",53,,,,Green - A,Yellow - F,Teal - G,Emerald - K,Amethyst - M,Mauve - L,,Red - TTS,,,,,Sage - N,
Fonticulua Digitos,23706,"127,700",1637,,,Lime - B,Green - A,Yellow - F,Teal - G,Emerald - K,Amethyst - M,Mauve - L,Orange - T,Red - TTS,,Ocher - Y,,Turquoise - D,Sage - N,
Fumerola Carbosis,23801,"339,100",243,,Magenta - Mercury,Cobalt - Niobium,Cyan - Tin,Yellow - Tungsten,Gold - Molybdenum,Orange - Cadmium,,,,,,,,,,
Fumerola Extremus,23802,"711,500",119,,Lime - Mercury,White - Niobium,Peach - Tin,Mulberry - Tungsten,Blue - Molybdenum,Aquamarine - Cadmium,,,,,,,,,,
Fumerola Nitris,23803,"389,400",311,,Peach - Mercury,Red - Niobium,Mulberry - Tin,Aquamarine - Tungsten,Lime - Molybdenum,White - Cadmium,,,,,,,,,,
Fumerola Aquatis,23804,"339,100",282,,Yellow - Mercury,Gold - Niobium,Orange - Tin,Cobalt - Tungsten,Cyan - Molybdenum,Green - Cadmium,,,,,,,,,,
Fungoida Setisis,23901,"120,200",4532,,Lime - Technetium,Yellow - Tellurium,White - Polonium,Gold - Ruthenium,Peach - Antimony,Orange - Yttrium,,,,,,,,,,
Fungoida Stabitis,23902,"174,000",1757,,Green - Mercury,White - Niobium,Orange - Tin,Peach - Tungsten,Magenta - Molybdenum,Blue - Cadmium,,,,,,,,,,
Fungoida Bullarum,23903,"224,100",778,,Peach - Technetium,Gold - Tellurium,Mulberry - Polonium,Magenta - Ruthenium,Red - Antimony,Orange - Yttrium,,,,,,,,,,
Fungoida Gelata,23904,"206,300",1812,,Lime - Mercury,Green - Niobium,Red - Tin,Orange - Tungsten,Mulberry - Molybdenum,Cyan - Cadmium,,,,,,,,,,
Osseus Fractus,24001,"239,400",1444,,,Lime - A,Turquoise - F,Grey - G,Indigo - K,Emerald - T,Green - TTS,,Maroon - Y,,,,,,,
Osseus Discus,24002,"596,500",567,,Lime - Mercury,Aquamarine - Niobium,Blue - Tin,Red - Tungsten,Peach - Molybdenum,White - Cadmium,,,,,,,,,,
Osseus Spiralis,24003,"159,900",4766,,Yellow - O,Lime - A,Turquoise - F,Grey - G,Indigo - K,Emerald - T,Green - TTS,,Maroon - Y,,,,,,,
Osseus Pumice,24004,"197,800",1539,,Lime - Technetium,Green - Tellurium,Peach - Polonium,Gold - Ruthenium,White - Antimony,Yellow - Yttrium,,,,,,,,,,
Osseus Cornibus,24005,"109,500",496,,,Lime - A,Turquoise - F,Grey - G,Indigo - K,Emerald - T,Green - TTS,,,,,,,,,
Osseus Pellebantus,24006,"477,700",350,,,Lime - A,Turquoise - F,Grey - G,Indigo - K,Emerald - T,Green - TTS,,Maroon - Y,,,,,,,
Recepta Umbrux,24101,"596,500",340,,,Turquoise - B,Amethyst - A,Mauve - F,Orange - G,Red - K,Maroon - M,Ocher - L,Teal - T,Sage - TTS,,,,,Emerald - N,
Recepta Deltahedronix,24102,"711,500",106,,Cyan - Mercury,Mulberry - Niobium,Orange - Tin,Red - Tungsten,Gold - Molybdenum,Lime - Cadmium,,,,,,,,,,
Recepta Conditivus,24103,"645,700",229,,Aquamarine - Technetium,Cyan - Tellurium,White - Polonium,Yellow - Ruthenium,Lime - Antimony,Green - Yttrium,,,,,,,,,,
Stratum Excutitus,24201,"162,200",1345,,Emerald - F,Lime - K,Green - M,Turquoise - L,Grey - T,Amethyst - TTS,Teal - Ae,Indigo - Y,Red - W,Mauve - D,,,,,,
